GIACR,German Orthography 1,German Orthography 2,Formats,Notes,Source
Ostmann,Ostmann,,1,,
Otte,Otte,,1,,
Otto,Otto,,1,,
Paap,Paap,,1,,
Pathalter,Pathalter,,1,,
Paust,Paust,,1,,
Pechmann,Pechmann,,1,,
Peiper,Peiper,,1,,
Peter,Peter,,1,,
Peters,Peters,,1,,
Petersheim,Petersheim,,1,,
Petrus,Petrus,,1,,
Pfeifer,Pfeifer,,1,,
Pfeifer,Pfeifer,,1,,
Pfeiffer,Pfeiffer,,1,,
Pflegerenter,Pflegerenter,,1,,
Pilgrim,Pilgrim,,1,,
Plackemeier,Plackemeier,,1,,
Plaikemeier,Plaikemeier,,1,,
Pleichens,Pleichens,,1,,
Podeyn,Podeyn,,1,,
Poehner,Pöhner,,1,,
Pohl,Pohl,,1,,
Pohlmann,Pohlmann,,1,,
Portmann,Portmann,,1,,
Portsch,Portsch,,1,,
Posser,Posser,,1,,
Potzel,Potzel,,1,,
Prasse,"Prasse, Praße",,1,,
Probst,Probst,,1,,
Progl,Progl,,1,,
Pross,Proß,,1,,
Pulsl,Pulsl,,1,,
Purkamp,Purkamp,,1,,
Raab,Raab,,1,,
Rabenstein,Rabenstein,,1,,
Raike,Raike,,1,,
Rauchfuss,Rauchfuß,,1,,
Rausser,Rausser,,1,,
Rech,Rech,,1,,
Reckmeier,Reckmeier,,1,,
Redderhold,Redderhold,,1,,
Refenberg,Refenberg,,1,,
Reimer,Reimer,,1,,
Reinboth,Reinboth,,1,,
Reineking,Reineking,,1,,
Reinhard,Reinhard,,1,,
Reinhardt,Reinhardt,,1,,
Reinheimer,Reinheimer,,1,,
Reissen,Reißen,,1,,
Reissner,Reissner,Reißner,2,,
Reitz,Reitz,,1,,
Reiz,Reiz,,1,,
Reller,Reller,,1,,
Remmert,Remmert,,1,,
Renningke,Renningke,,1,,
Resche,Resche,,1,,
Reupke,Reupke,,1,,
Reuter,Reuter,,1,,
Richmann,Richmann,,1,,
Richter,Richter,,1,,
Rickelein,Rickelein,,1,,
Ricken,Ricken,,1,,
Riechler,Riechler,,1,,
Riechmann,Riechmann,,1,,
Ried,Ried,,1,,
Riefenberg,Riefenberg,,1,,
Ries,Ries,,1,,
Riethmueller,Riethmüller,,1,,
Riewe,Riewe,,1,,
Ring,Ring,,1,,
Roeder,Röder,,1,,
Roehring,Röhring,,1,,
Roennecke,Rönnecke,,1,,
Roesler,Rösler,,1,,
Roettger,Röttger,,1,,
Rohlfing,Rohlfing,,1,,
Rohme,Rohme,,1,,
Rohne,Rohne,,1,,
Rolle,Rolle,,1,,
Rose,Rose,,1,,
Rosenkoetter,Rosenkötter,,1,,
Rothemeier,Rothemeier,,1,,
Rothgang,Rothgang,,1,,
Rottmann,Rottmann,,1,,
Rox,Rox,,1,,
Rudelt,Rudelt,,1,,
Rudlott,Rudlott,,1,,
Rudolff,Rudolff,,1,,
Rump,Rump,,1,,
Rumpel,Rumpel,,1,,
Runge,Runge,,1,,
Rupp,Rupp,,1,,
Ruppel,Ruppel,,1,,
Sachleben,Sachleben,,1,,
Sachlebend,Sachlebend,,1,,
Sachtleben,Sachtleben,,1,,
Sahrmann,Sahrmann,,1,,
Sandfuss,Sandfuß,,1,,
Sauer,Sauer,,1,,
Schaefer,Schäfer,,1,,
Schaefering,Schäfering,,1,,
Schaeferling,Schäferling,,1,,
Schaeffer,Schäffer,,1,,
Schaeperkoetter,Schäperkötter,,1,,
Schaller,Schaller,,1,,
Schambach,Schambach,,1,,
Schanlin,Schanlin,,1,,
Schaubert,Schaubert,,1,,
Schaupert,Schaupert,,1,,
Scheel,Scheel,,1,,
Scheer,Scheer,,1,,
Scheffer,Scheffer,,1,,
Scheffler,Scheffler,,1,,
Scherer,Scherer,,1,,
Scherz,Scherz,,1,,
Schewe,Schewe,,1,,
Schildmeier,Schildmeier,,1,,
Schilling,Schilling,,1,,
Schillinger,Schillinger,,1,,
Schindler,Schindler,,1,,
Schipp,Schipp,,1,,
Schirmer,Schirmer,,1,,
Schlaft,Schlaft,,1,,
Schlef,Schlef,,1,,
Schloemann,Schlömann,,1,,
Schlueter,Schlüter,,1,,
Schlueter,Schlüter,,1,,
Schmeck,Schmeck,,1,,
Schmid,Schmid,,1,,
Schmidt,Schmidt,,1,,
Schmit,Schmit,,1,,
Schmitt,Schmitt,,1,,
Schmitz,Schmitz,,1,,
Schneck,Schneck,,1,,
Schnedler,Schnedler,,1,,
Schneider,Schneider,,1,,
Schnele,Schnele,,1,,
Schnell,Schnell,,1,,
Schneller,Schneller,,1,,
Schnur,Schnur,,1,,
Schoenbek,Schönbek,,1,,
Schoening,Schöning,,1,,
Scholer,Scholer,,1,,
Schorege,Schorege,,1,,
